,RP11.798L4.1,RP11.408N14.1,RP11.148B18.4,AC114730.2,LINC00652,RP11.662B19.2,RP11.371A19.2,CTD.2529P6.3,AC003991.3,AC005498.3,RP11.888D10.3,GS1.410F4.4,AC002310.7,RP6.65G23.1,BX936347.1,RP11.145H9.3,RP11.134O21.1,RP11.1079K10.2,LINC00665,RP11.656D10.6,RP11.408A13.3,AC122129.1,RP11.182L21.6,RP11.563P16.1,DCTN1.AS1,ARHGAP5.AS1,RP11.247I13.11,SSTR5.AS1,RP11.45A16.4,CTD.2062F14.3
TCGA.AQ.A04H,-0.601704709,-0.418397667,-1.494979156,-1.780689793,-1.17972632,-1.14589498,0.232177579,-1.253179655,-0.643226226,-0.010475848,-0.570067676,0.743953025,0.714399156,1.065141286,0.689653752,1.628851486,-0.267764587,1.761264663,-0.764674338,-0.507054689,-0.712369851,4.004373608,1.523823234,0.060525753,0.793849071,-1.80288186,-1.256972917,0.866139548,-1.047145051,-1.410834496
TCGA.AR.A1AN,-0.601704709,-0.418397667,1.173614694,0.119504856,-0.750142826,0.716731583,0.322087577,0.049144894,0.017545131,-0.331730615,0.190536163,-0.966699684,1.301048564,0.609550173,-1.709291592,0.760600866,0.51783062,0.894986565,0.602135586,0.440617572,-0.310672251,-0.957074527,-1.043377183,1.112200597,0.787579309,-0.371131149,-2.404440488,-0.092668762,-1.047145051,0.254643632
TCGA.AR.A1AQ,3.367573177,-0.418397667,0.813891134,2.013755466,0.689511654,-1.14589498,1.209416867,0.324387764,-0.693664959,-1.289907529,0.594362345,-0.966699684,0.741633602,-1.182891695,-1.552057364,2.177772108,-1.852342074,0.791873539,0.831215847,-1.669189793,-0.064027309,-2.697557992,0.838855116,0.155955799,-0.515504783,-0.668377406,0.323554076,-0.545520602,-1.047145051,-0.237877194
TCGA.AR.A1AX,1.184462417,-0.418397667,-0.008428382,-0.307693155,-0.274814449,0.70546319,1.82427785,2.323534243,-0.437054219,0.055904888,-0.436095853,-0.966699684,-0.433687644,-1.182891695,-1.30636095,-0.989570578,0.990991095,0.716641424,0.207376903,-0.35786532,0.343897892,1.237787202,-0.646006408,0.160755465,-0.757188058,-1.193822404,-0.14574155,-0.545520602,-1.047145051,0.712087273
TCGA.AR.A24M,-0.601704709,-0.418397667,-0.211299718,-0.739457486,-1.637063762,-0.013478969,-0.9377127,-0.137382472,-0.167690128,-0.322948498,0.312695749,-0.966699684,-1.512292698,0.02890859,-0.304986007,1.28233339,0.288539581,-0.601034722,-1.088719217,0.823892367,-0.772429198,0.807293787,-1.038365732,0.767524665,0.833834765,-0.39945897,-0.742482577,0.001759726,-1.047145051,-0.240615341
TCGA.AR.A24R,0.520881443,-0.418397667,-0.176370569,0.194271587,-0.549637614,0.017663018,-0.9377127,-1.253179655,-1.317469103,-1.459996471,-0.545129539,0.183499633,0.133442842,-0.134448214,1.89900414,-0.989570578,-0.348411093,0.110304952,-0.32163674,-0.116704203,-0.752736209,0.309686851,-1.21026271,-0.262241164,2.986549789,1.219960652,-0.69772127,-0.545520602,-0.351188616,-1.410834496
TCGA.AR.A24S,-0.601704709,-0.418397667,0.538542338,1.018127258,1.396857228,0.529268023,0.658970681,-0.082709427,-0.294083046,-1.685557272,-0.170382602,0.689230958,-1.512292698,-0.113203528,-1.55926111,0.300080624,-0.656955429,1.028583886,1.216212978,0.851816531,0.172457867,0.242204521,-0.207510476,1.646953958,-0.86330007,-0.854843135,0.442538001,-0.138517911,0.801743906,1.837098036
TCGA.AR.A24U,0.648915735,-0.418397667,1.125005812,0.411484273,-1.711802547,0.681099091,0.297823888,-1.253179655,3.809425267,-1.945142386,0.141173584,0.314683288,-1.512292698,1.633552862,0.199464103,-0.989570578,0.112603552,-0.82031972,-2.645659578,-0.667192878,0.320244466,0.869067164,-1.382904675,1.066201917,0.526334701,0.324642302,-0.507814891,-0.545520602,-0.271812713,-1.410834496
TCGA.AR.A24W,0.656464189,-0.418397667,-0.285871483,0.424217735,-0.643002749,0.158194226,0.3052813,-1.253179655,0.086975023,-0.862061183,0.449406251,0.850146197,-1.512292698,0.634047307,-0.088458347,-0.989570578,0.487940592,-0.814620957,-0.771500034,-0.513120866,-1.488525341,1.36131217,0.325280468,0.149637748,1.038860222,2.061421965,0.372613112,-0.545520602,0.976015897,-0.45544418
TCGA.AR.A24X,2.015688779,-0.418397667,1.180889236,-0.329665498,-0.364700031,0.436012569,1.183979842,-1.253179655,-1.317469103,-0.046519348,-0.866345733,-0.966699684,-0.213448062,-0.412589562,-0.827115776,0.228286411,0.174705587,1.388750321,0.631056315,-1.182061165,0.70528877,-0.299904244,-0.795590955,-0.302657175,-0.238318464,-0.349159808,0.777357749,-0.545520602,-0.100962101,-1.410834496
TCGA.AR.A254,-0.601704709,-0.418397667,-1.494979156,-0.110672267,-0.289738843,-1.14589498,-0.9377127,-0.112160933,0.201987176,-1.466470935,-0.960026703,-0.966699684,0.125683549,0.05510286,-0.615903213,-0.098055475,0.677147596,0.961749347,0.488598086,-1.609979312,-0.226997539,0.469725603,0.319247746,2.070490245,-0.055951225,-0.097558591,0.077392978,-0.545520602,-1.047145051,-0.214303888
TCGA.BH.A0AW,-0.601704709,-0.418397667,0.912556308,0.086739372,-0.232909615,0.526433007,-0.9377127,-1.253179655,-1.317469103,0.922859136,1.413385542,-0.966699684,-0.13920725,0.395242993,1.719210064,-0.989570578,-0.178480118,1.557195654,0.77121778,-0.990657361,-1.488525341,-0.900317059,-1.013710513,-0.240834507,-1.872152469,-2.21142222,-0.504877007,-0.545520602,1.14179947,-1.410834496
